CustomerID,Gender,SeniorCitizen,Age,Partner,Dependents,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,tenure,Churn
001-FCBAE,Female,0,34,Yes,No,Yes,Fiber optic,Month-to-month,85.5,458.4,5,No
002-MAYRM,Male,0,45,No,No,Yes,DSL,Two year,65.3,3200.0,60,No
003-RUHUZ,Female,1,70,Yes,No,No,None,Month-to-month,25.0,250.0,10,Yes
004-TEWXA,Male,0,29,No,Yes,Yes,Fiber optic,One year,95.2,1500.0,20,No
005-BBWQD,Female,0,39,Yes,Yes,Yes,DSL,Month-to-month,55.0,880.0,16,No
006-HZWRJ,Male,1,65,No,Yes,Yes,Fiber optic,Month-to-month,105.5,1320.0,12,Yes
007-MIQHV,Female,0,52,Yes,Yes,Yes,DSL,Two year,70.0,4200.0,65,No
008-MZPYV,Male,0,31,No,No,Yes,Fiber optic,Month-to-month,99.9,399.6,4,Yes
009-JRLOS,Female,1,77,Yes,No,No,None,One year,20.0,240.0,12,No
010-ZPCXB,Male,0,42,Yes,Yes,Yes,DSL,Two year,60.0,3000.0,60,No
